Comparison Log - 04/03/2026 18:14:12
***MISSING*** The file '0245.zip.160201402' has no match in Directory B.
***MISSING*** The file '106.txt.txt.143501402' has no match in Directory B.
***MISSING*** The file '116.txt.txt.151306402' has no match in Directory B.
***MISSING*** The file '121.txt.txt.123610402' has no match in Directory B.
***MISSING*** The file '125gen.txt.txt.114225402' has no match in Directory B.
***MISSING*** The file '146gen.txt.txt.143525402' has no match in Directory B.
***MISSING*** The file '148.txt.txt.130841402' has no match in Directory B.
***MISSING*** The file '151gen.txt.txt.153206402' has no match in Directory B.
***MISSING*** The file '153.txt.txt.123750402' has no match in Directory B.
***MISSING*** The file '154gen.txt.txt.143525402' has no match in Directory B.
***MISSING*** The file '168gen.txt.txt.153206402' has no match in Directory B.
***MISSING*** The file '169.txt.txt.114235402' has no match in Directory B.
***MISSING*** The file '170.txt.txt.123830402' has no match in Directory B.
***MISSING*** The file '177.txt.txt.123835402' has no match in Directory B.
***MISSING*** The file '222gen.txt.txt.114300402' has no match in Directory B.
***MISSING*** The file '27gen.txt.txt.085955402' has no match in Directory B.
***MISSING*** The file '30PRPCLIENTS.dat.txt.135650402' has no match in Directory B.
***MISSING*** The file '337gen.txt.txt.100105402' has no match in Directory B.
***MISSING*** The file '340gen.txt.txt.100005402' has no match in Directory B.
***MISSING*** The file '366gen.txt.txt.100120402' has no match in Directory B.
***MISSING*** The file '370.txt.txt.095955402' has no match in Directory B.
***MISSING*** The file '40gen.txt.txt.095900402' has no match in Directory B.
***MATCH*** The file 'L1004000326.txt.txt' MATCHES.
***MISSING*** The file '62gen.txt.txt.114210402' has no match in Directory B.
***MISSING*** The file '79.txt.txt.143430402' has no match in Directory B.
***MISSING*** The file 'CODMLBOX.txt.txt.110105402' has no match in Directory B.
***MATCH*** The file 'D0402_B890218.txt.txt.135825402' MATCHES.
***MATCH*** The file 'D0402_B890544.txt.txt.145905402' MATCHES.
***MATCH*** The file 'D0402_W890119.txt.txt.142830402' MATCHES.
***MISMATCH*** The file 'D0402_W890678.txt.txt.151306402' DOES NOT MATCH.
***MATCH*** The file 'D0402_W890817.txt.txt.121535402' MATCHES.
***MATCH*** The file 'L1169080.txt.txt' MATCHES.
***MISSING*** The file 'IMCLARSRVS.040226.135012.dat.eof.2026.04.02.14.00.02402' has no match in Directory B.
***MISMATCH*** The file 'L1004000326.txt.txt.182821402' DOES NOT MATCH.
***MISSING*** The file 'L1004001342.txt.txt.182831402' has no match in Directory B.
***MATCH*** The file 'L1008002024.txt.txt.130545402' MATCHES.
***MISSING*** The file 'L1009000332.csv.txt.114520402' has no match in Directory B.
***MATCH*** The file 'L102609.txt.txt.085820402' MATCHES.
***MATCH*** The file 'L1026500.txt.txt.182836402' MATCHES.
***MATCH*** The file 'L1029860.txt.txt.175831402' MATCHES.
***MATCH*** The file 'L1161830.txt.txt.162936402' MATCHES.
***MATCH*** The file 'L1163260.csv.txt.155841402' MATCHES.
***MATCH*** The file 'L1167000.csv.txt.162931402' MATCHES.
***MISSING*** The file 'L1167140.txt.txt.165821402' has no match in Directory B.
***MATCH*** The file 'L1167780.txt.txt.172826402' MATCHES.
***MATCH*** The file 'L1169080.txt.txt.162941402' MATCHES.
***MATCH*** The file 'L1170090.txt.txt.162946402' MATCHES.
***MATCH*** The file 'L117022PP.txt.txt.162951402' MATCHES.
***MATCH*** The file 'L117022RE.txt.txt.162951402' MATCHES.
***MISMATCH*** The file 'L117022UT.txt.txt.162946402' DOES NOT MATCH.
***MATCH*** The file 'L117096.txt.txt.152820402' MATCHES.
***MATCH*** The file 'L1171070.txt.txt.162926402' MATCHES.
***MATCH*** The file 'L1171130.txt.txt.145940402' MATCHES.
***MATCH*** The file 'L117162.txt.txt.145835402' MATCHES.
***MATCH*** The file 'L1171800.csv.txt.130006402' MATCHES.
***MATCH*** The file 'L117195.txt.txt.072820402' MATCHES.
***MISSING*** The file 'L117195ST.txt.2026%3A04%3A0207%3A04%3A02402' has no match in Directory B.
***MATCH*** The file 'L1173100.csv.txt.162811402' MATCHES.
***MATCH*** The file 'L1173200.txt.txt.175826402' MATCHES.
***MISMATCH*** The file 'L1173330.csv.txt.182841402' DOES NOT MATCH.
***MATCH*** The file 'L1174180.txt.txt.162946402' MATCHES.
***MISSING*** The file 'L1174310.csv.txt.182831402' has no match in Directory B.
***MATCH*** The file 'L1174350.xml.txt.112800402' MATCHES.
***MATCH*** The file 'L1174660.csv.txt.142900402' MATCHES.
***MATCH*** The file 'L1174790.xml.txt.112805402' MATCHES.
***MATCH*** The file 'L1174990.txt.txt.172816402' MATCHES.
***MATCH*** The file 'L1175580.txt.txt.152841402' MATCHES.
***MATCH*** The file 'L1175690.txt.txt.145900402' MATCHES.
***MATCH*** The file 'L1175700.csv.txt.142825402' MATCHES.
***MATCH*** The file 'L1176350.txt.txt.172817402' MATCHES.
***MATCH*** The file 'L1176480.csv.txt.155841402' MATCHES.
***MISMATCH*** The file 'L117718.csv.txt.182826402' DOES NOT MATCH.
***MATCH*** The file 'L1177310.txt.txt.175816402' MATCHES.
***MATCH*** The file 'L1177430.csv.txt.172817402' MATCHES.
***MATCH*** The file 'L1177530.txt.txt.175816402' MATCHES.
***MATCH*** The file 'L1178170.txt.txt.162921402' MATCHES.
***MISSING*** The file 'L1178480.txt.txt.162811402' has no match in Directory B.
***MATCH*** The file 'L1178550.csv.txt.072814402' MATCHES.
***MATCH*** The file 'L1178620.txt.txt.155806402' MATCHES.
***MISSING*** The file 'L1663.csv.txt.155201402' has no match in Directory B.
***MISSING*** The file 'L2242.csv.txt.154716402' has no match in Directory B.
***MISSING*** The file 'L2715.csv.txt.142406402' has no match in Directory B.
***MISSING*** The file 'L301018.csv.txt.182841402' has no match in Directory B.
***MATCH*** The file 'L301061.csv.txt.142835402' MATCHES.
***MATCH*** The file 'L301062.csv.txt.172816402' MATCHES.
***MISSING*** The file 'L34734.txt.txt.125345402' has no match in Directory B.
***MISSING*** The file 'L34750ST.txt.2026%3A04%3A0217%3A04%3A02402' has no match in Directory B.
***MISSING*** The file 'L34757.txt.txt.124845402' has no match in Directory B.
***MATCH*** The file 'L37153_04022026.csv.txt.131351402' MATCHES.
***MISSING*** The file 'L420560.csv.120916402' has no match in Directory B.
***MATCH*** The file 'L440126.txt.txt.111500402' MATCHES.
***MATCH*** The file 'L440166.csv.txt.135255402' MATCHES.
***MATCH*** The file 'L440195.txt.txt.111500402' MATCHES.
***MATCH*** The file 'L440284.txt.txt.135055402' MATCHES.
***MISSING*** The file 'L580194.txt.txt.123930402' has no match in Directory B.
***MISSING*** The file 'L580240.txt.txt.143440402' has no match in Directory B.
***MISSING*** The file 'L580398.txt.txt.123535402' has no match in Directory B.
***MATCH*** The file 'L600138.txt.txt.095325402' MATCHES.
***MATCH*** The file 'L600139.txt.txt.151506402' MATCHES.
***MATCH*** The file 'L628395.csv.txt.115705402' MATCHES.
***MATCH*** The file 'L628754.csv.txt.105125402' MATCHES.
***MISMATCH*** The file 'L660448.txt.txt.152846402' DOES NOT MATCH.
***MATCH*** The file 'L664040.txt.txt.162846402' MATCHES.
***MATCH*** The file 'L664130.csv.txt.172816402' MATCHES.
***MISMATCH*** The file 'L664181.txt,txt.txt.165816402' DOES NOT MATCH.
***MISSING*** The file 'L79047.txt.txt.135320402' has no match in Directory B.
***MATCH*** The file 'L791045.txt.txt.131321402' MATCHES.
***MATCH*** The file 'L791055.txt.txt.131021402' MATCHES.
***MATCH*** The file 'L79107.csv.txt.072820402' MATCHES.
***MATCH*** The file 'L791116.csv.txt.131220402' MATCHES.
***MISMATCH*** The file 'L791126.txt.txt.131626402' DOES NOT MATCH.
***MISMATCH*** The file 'L791148.csv.txt.131520402' DOES NOT MATCH.
***MATCH*** The file 'L791157.csv.txt.131215402' MATCHES.
***MATCH*** The file 'L791162.csv.txt.131221402' MATCHES.
***MATCH*** The file 'L791188.csv.txt.131215402' MATCHES.
***MATCH*** The file 'L791420.csv.txt.130445402' MATCHES.
***MATCH*** The file 'L791499.txt.txt.131626402' MATCHES.
***MATCH*** The file 'L791500.txt.txt.131630402' MATCHES.
***MISSING*** The file 'L791519.txt.txt.121305402' has no match in Directory B.
***MISSING*** The file 'L791519R_.txt.121145402' has no match in Directory B.
***MATCH*** The file 'L791555.txt.txt.131625402' MATCHES.
***MATCH*** The file 'L791557.txt.txt.131625402' MATCHES.
***MISSING*** The file 'L791592.txt.txt.141710402' has no match in Directory B.
***MATCH*** The file 'L791596.csv.txt.131700402' MATCHES.
***MISSING*** The file 'L791604.csv.txt.153136402' has no match in Directory B.
***MISSING*** The file 'L791612.txt.txt.141840402' has no match in Directory B.
***MISSING*** The file 'L791723.csv.txt.153221402' has no match in Directory B.
***MATCH*** The file 'L791752.csv.txt.131420402' MATCHES.
***MATCH*** The file 'L791753.csv.txt.131221402' MATCHES.
***MATCH*** The file 'L791755.csv.txt.131655402' MATCHES.
***MATCH*** The file 'L791775.txt.txt.130820402' MATCHES.
***MATCH*** The file 'L791788.txt.txt.130620402' MATCHES.
***MATCH*** The file 'L791790.csv.txt.131725402' MATCHES.
***MISSING*** The file 'L791796.txt.txt.141920402' has no match in Directory B.
***MISSING*** The file 'L791800.csv.txt.153151402' has no match in Directory B.
***MISSING*** The file 'L791800ST.txt.2026%3A04%3A0201%3A04%3A01402' has no match in Directory B.
***MISSING*** The file 'L791801.csv.txt.153236402' has no match in Directory B.
***MISSING*** The file 'L791802.csv.txt.153251402' has no match in Directory B.
***MISSING*** The file 'L791802ST.txt.2026%3A04%3A0201%3A04%3A01402' has no match in Directory B.
***MISSING*** The file 'L791804.csv.txt.153321402' has no match in Directory B.
***MATCH*** The file 'L791852.txt.txt.130915402' MATCHES.
***MATCH*** The file 'L791857.csv.txt.131321402' MATCHES.
***MATCH*** The file 'L791858.csv.txt.131320402' MATCHES.
***MISSING*** The file 'L79209.txt.txt.141800402' has no match in Directory B.
***MISSING*** The file 'L79212.csv.120916402' has no match in Directory B.
***MATCH*** The file 'L79257.txt.txt.131021402' MATCHES.
***MATCH*** The file 'L79349.txt.txt.105825402' MATCHES.
***MATCH*** The file 'L79391.csv.txt.131220402' MATCHES.
***MATCH*** The file 'L79395.csv.txt.131450402' MATCHES.
***MATCH*** The file 'L79651.txt.txt.131021402' MATCHES.
***MATCH*** The file 'L79691.txt.txt.131720402' MATCHES.
***MISMATCH*** The file 'L79778.txt.txt.131631402' DOES NOT MATCH.
***MISMATCH*** The file 'L79800.txt.txt.131630402' DOES NOT MATCH.
***MISMATCH*** The file 'L79853.csv.txt.131050402' DOES NOT MATCH.
***MISMATCH*** The file 'L79864.csv.txt.131520402' DOES NOT MATCH.
***MISSING*** The file 'L79883.csv.txt.131321402' has no match in Directory B.
***MATCH*** The file 'L79998.txt.txt.131455402' MATCHES.
***MATCH*** The file 'L88131.txt.txt.162846402' MATCHES.
***MATCH*** The file 'L88132.txt.txt.162841402' MATCHES.
***MATCH*** The file 'L88133.txt.txt.162841402' MATCHES.
***MATCH*** The file 'L890626.txt.txt.162846402' MATCHES.
***MISMATCH*** The file 'L890643.txt.txt.092830402' DOES NOT MATCH.
***MATCH*** The file 'L890750.txt.txt.152806402' MATCHES.
***MATCH*** The file 'L896199.txt.txt.162911402' MATCHES.
***MISMATCH*** The file 'L896227.txt.txt.092825402' DOES NOT MATCH.
***MISMATCH*** The file 'L896229.txt.txt.092830402' DOES NOT MATCH.
***MISMATCH*** The file 'L896242.txt.txt.092825402' DOES NOT MATCH.
***MISMATCH*** The file 'L896244.txt.txt.152811402' DOES NOT MATCH.
***MATCH*** The file 'L896250.csv.txt.162906402' MATCHES.
***MATCH*** The file 'L896273.csv.txt.162921402' MATCHES.
***MATCH*** The file 'L896325.txt.txt.162812402' MATCHES.
***MATCH*** The file 'L896430.csv.txt.162921402' MATCHES.
***MATCH*** The file 'L896453.csv.txt.151336402' MATCHES.
***MATCH*** The file 'L896456.csv.txt.162921402' MATCHES.
***MATCH*** The file 'L896457.csv.txt.162906402' MATCHES.
***MISMATCH*** The file 'L896472.csv.txt.162916402' DOES NOT MATCH.
***MATCH*** The file 'L896494.txt.txt.095355402' MATCHES.
***MATCH*** The file 'L896495.txt.txt.162856402' MATCHES.
